fy_start,regime,slab_lower,slab_upper,rate_pct,notes
2025,new,0,400000,0,FY 2025-26 new regime
2025,new,400000,800000,5,
2025,new,800000,1200000,10,
2025,new,1200000,1600000,15,
2025,new,1600000,2000000,20,
2025,new,2000000,2400000,25,
2025,new,2400000,,30,Above 24L
2025,old,0,250000,0,FY 2025-26 old regime
2025,old,250000,500000,5,
2025,old,500000,1000000,20,
2025,old,1000000,,30,Above 10L
2024,new,0,300000,0,FY 2024-25 new regime
2024,new,300000,700000,5,
2024,new,700000,1000000,10,
2024,new,1000000,1200000,15,
2024,new,1200000,1500000,20,
2024,new,1500000,,30,Above 15L
2024,old,0,250000,0,FY 2024-25 old regime
2024,old,250000,500000,5,
2024,old,500000,1000000,20,
2024,old,1000000,,30,Above 10L
2023,new,0,300000,0,FY 2023-24 new regime
2023,new,300000,600000,5,
2023,new,600000,900000,10,
2023,new,900000,1200000,15,
2023,new,1200000,1500000,20,
2023,new,1500000,,30,Above 15L
2023,old,0,250000,0,FY 2023-24 old regime
2023,old,250000,500000,5,
2023,old,500000,1000000,20,
2023,old,1000000,,30,Above 10L
